id,listing_url,name,neighbourhood,city,state,zipcode,latitude,longitude,host_name,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
12147973,https://www.airbnb.com/rooms/12147973,Sunny Bungalow in the City,Roslindale,Boston,MA,02131,42.28261879577949,-71.13306792912681,Virginia,House,Entire home/apt,4,1.5,2.0,3.0,Real Bed,"{TV,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Laptop Friendly Workspace""}",250.0,91.91666666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.646548608601373,9.414042707202317,9.16823444283647
3075044,https://www.airbnb.com/rooms/3075044,Charming room in pet friendly apt,Roslindale,Boston,MA,02131,42.286240821867416,-71.13437396457161,Andrea,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron}",65.0,94.0,10.0,9.0,10.0,10.0,9.0,9.0
6976,https://www.airbnb.com/rooms/6976,Mexican Folk Art Haven in Boston,Roslindale,Boston,MA,02131,42.29243788665679,-71.13576525374667,Phil,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",Essentials,Shampoo,""Lock on Bedroom Door"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",65.0,98.0,10.0,9.0,10.0,10.0,9.0,10.0
1436513,https://www.airbnb.com/rooms/1436513,Spacious Sunny Bedroom Suite in Historic Home,Roslindale,Boston,MA,,42.281106188273654,-71.12102117350554,Meghna,House,Private room,4,1.0,1.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Gym,Breakfast,""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",75.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0
7651065,https://www.airbnb.com/rooms/7651065,Come Home to Boston,Roslindale,Boston,MA,02131,42.28451220982457,-71.1362580468337,Linda,House,Private room,2,1.5,1.0,2.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron}",79.0,99.0,10.0,10.0,10.0,10.0,9.0,10.0
12386020,https://www.airbnb.com/rooms/12386020,Private Bedroom + Great Coffee,Roslindale,Boston,MA,02131,42.291689800769035,-71.13189277475922,Deborah,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,"{""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Hangers,Iron}",75.0,100.0,10.0,10.0,10.0,10.0,9.0,10.0
5706985,https://www.airbnb.com/rooms/5706985,New Lrg Studio apt 15 min to Boston,Roslindale,Boston,MA,02131,42.28138962623447,-71.13119041987277,Juliet,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in""}",100.0,90.0,10.0,10.0,10.0,10.0,9.0,9.0
2843445,https://www.airbnb.com/rooms/2843445,"""Tranquility"" on ""Top of the Hill""",Roslindale,Boston,MA,02131,42.28194609607024,-71.14102161135577,Marilyn,House,Private room,2,2.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",Breakfast,""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",75.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0
753446,https://www.airbnb.com/rooms/753446,6 miles away from downtown Boston!,Roslindale,Roslindale,MA,02131,42.285877639201935,-71.12490955692161,Sami,Condominium,Private room,2,1.0,1.0,2.0,Real Bed,"{""Wireless Internet"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Shampoo,Hangers,""Hair Dryer""}",58.0,96.0,10.0,10.0,10.0,10.0,9.0,10.0
849408,https://www.airbnb.com/rooms/849408,Perfect & Practical Boston Rental,Roslindale,Boston,MA,02131,42.288820283584535,-71.1395101021012,Damon,Apartment,Entire home/apt,5,1.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",229.0,94.0,10.0,9.0,10.0,10.0,9.0,9.0
